measure,sex,ga_label,ga_weeks,z_level,value
hc,male,33+0,33.0,-3,26.5
hc,male,33+0,33.0,-2,28.1
hc,male,33+0,33.0,-1,29.5
hc,male,33+0,33.0,0,30.9
hc,male,33+0,33.0,1,32.3
hc,male,33+0,33.0,2,33.8
hc,male,33+0,33.0,3,35.5
hc,male,33+1,33.142857142857146,-3,26.6
hc,male,33+1,33.142857142857146,-2,28.2
hc,male,33+1,33.142857142857146,-1,29.6
hc,male,33+1,33.142857142857146,0,31.0
hc,male,33+1,33.142857142857146,1,32.4
hc,male,33+1,33.142857142857146,2,33.9
hc,male,33+1,33.142857142857146,3,35.6
hc,male,33+2,33.285714285714285,-3,26.7
hc,male,33+2,33.285714285714285,-2,28.3
hc,male,33+2,33.285714285714285,-1,29.7
hc,male,33+2,33.285714285714285,0,31.1
hc,male,33+2,33.285714285714285,1,32.5
hc,male,33+2,33.285714285714285,2,34.0
hc,male,33+2,33.285714285714285,3,35.6
hc,male,33+3,33.42857142857143,-3,26.8
hc,male,33+3,33.42857142857143,-2,28.4
hc,male,33+3,33.42857142857143,-1,29.8
hc,male,33+3,33.42857142857143,0,31.1
hc,male,33+3,33.42857142857143,1,32.5
hc,male,33+3,33.42857142857143,2,34.0
hc,male,33+3,33.42857142857143,3,35.7
hc,male,33+4,33.57142857142857,-3,26.9
hc,male,33+4,33.57142857142857,-2,28.5
hc,male,33+4,33.57142857142857,-1,29.9
hc,male,33+4,33.57142857142857,0,31.2
hc,male,33+4,33.57142857142857,1,32.6
hc,male,33+4,33.57142857142857,2,34.1
hc,male,33+4,33.57142857142857,3,35.8
hc,male,33+5,33.714285714285715,-3,27.0
hc,male,33+5,33.714285714285715,-2,28.6
hc,male,33+5,33.714285714285715,-1,30.0
hc,male,33+5,33.714285714285715,0,31.3
hc,male,33+5,33.714285714285715,1,32.7
hc,male,33+5,33.714285714285715,2,34.2
hc,male,33+5,33.714285714285715,3,35.8
hc,male,33+6,33.857142857142854,-3,27.1
hc,male,33+6,33.857142857142854,-2,28.7
hc,male,33+6,33.857142857142854,-1,30.1
hc,male,33+6,33.857142857142854,0,31.4
hc,male,33+6,33.857142857142854,1,32.8
hc,male,33+6,33.857142857142854,2,34.2
hc,male,33+6,33.857142857142854,3,35.9
hc,male,34+0,34.0,-3,27.2
hc,male,34+0,34.0,-2,28.8
hc,male,34+0,34.0,-1,30.1
hc,male,34+0,34.0,0,31.5
hc,male,34+0,34.0,1,32.8
hc,male,34+0,34.0,2,34.3
hc,male,34+0,34.0,3,36.0
hc,male,42+6,42.857142857142854,-3,31.9
hc,male,42+6,42.857142857142854,-2,33.2
hc,male,42+6,42.857142857142854,-1,34.3
hc,male,42+6,42.857142857142854,0,35.4
hc,male,42+6,42.857142857142854,1,36.5
hc,male,42+6,42.857142857142854,2,37.7
hc,male,42+6,42.857142857142854,3,39.0
